"odkaz";"nazev";"vyucujici";"predmet";"tyden";"keywords";"typ";"kod";"poznamky";"origolink";"nahrazeno"
"https://web.microsoftstream.com/video/d990e0e7-3e05-455c-aa2b-99e98ae3d8e0";"Chemická rovnováha – standardní stav a definice pH";"Pavel Vrbka";"Fyzikální chemie I";10;"chemická rovnováha,reakce s tuhou fází,standardní stav,aktivita tuhé složky,rozkladná teplota,rovnováha v roztoku,aktivita složek roztoku,pH,disociační konstanta,iontový součin vody,konstanta kyselosti,součin rozpustnosti";"přednáška";"B403003";;"https://web.microsoftstream.com/video/d990e0e7-3e05-455c-aa2b-99e98ae3d8e0";
"https://web.microsoftstream.com/video/443e58b2-e2ea-42e1-a36c-a3cfe05d3ba7";"Úvodní informace";"Ondřej Vopička";"Fyzikální chemie I";1;"úvodní informace,cvičení FCH1";"cvičení";"B403003";;"https://web.microsoftstream.com/video/5f46f434-ea14-42f6-b734-a84473ad09a4";1
"https://web.microsoftstream.com/video/9aa0c305-b450-4895-a93b-d411281a3a44";"Příklad 1 (21/18) – koncentrace roztoku";"Ondřej Vopička";"Fyzikální chemie I";1;"vyjadřování koncentrace roztoku";"cvičení";"B403003";;"https://web.microsoftstream.com/video/62062b8b-a927-4213-877e-7c723e384a55";1
"https://web.microsoftstream.com/video/fceb435f-2007-4189-a433-266499183037";"Příklad 2 (20/18, upraveny) – koncentrace roztoku";"Ondřej Vopička";"Fyzikální chemie I";1;"vyjadřování koncentrace roztoku";"cvičení";"B403003";;"https://web.microsoftstream.com/video/0f8d14ad-629d-46c2-abd4-59f7a78ef422";1
"https://web.microsoftstream.com/video/63de4639-886f-49f7-b898-d1f979703321";"Příklad 3, část 1 z 2 (6/38 upravený) – střední mol. hmotnost";"Ondřej Vopička";"Fyzikální chemie I";1;"relativní vlhkost vzduchu,absolutní vlhkost vzduchu,střední molární hmotnost";"cvičení";"B403003";;"https://web.microsoftstream.com/video/dd4d4436-35a4-43bb-8312-13589fc1feef";1
"https://web.microsoftstream.com/video/11eb4505-45a6-4ca2-a99f-a7251d6106fb";"Příklad 3, část 2 z 2 (6/38 upravený) – střední mol. hmotnost";"Ondřej Vopička";"Fyzikální chemie I";1;"relativní vlhkost vzduchu,absolutní vlhkost vzduchu,střední molární hmotnost";"cvičení";"B403003";;"https://web.microsoftstream.com/video/4bde7d9b-bb5d-44d5-83b0-edbe6a606286";1
"https://web.microsoftstream.com/video/8f09eef2-08c4-4322-ab33-5cdf60978ae3";"Příklad 4 (34/41 upravený) – hustota ideálního plynu";"Ondřej Vopička";"Fyzikální chemie I";1;"hustota ideálního plynu,ideální plyn";"cvičení";"B403003";;"https://web.microsoftstream.com/video/66575bca-cec3-4b07-aa71-a514712c66e8";1
"https://web.microsoftstream.com/video/dad465bb-9be9-46a9-a48d-9bc65e6f6422";"Příklad 1 (12/18) – rovnost mol. a hmot. zlomku";"Ondřej Vopička";"Fyzikální chemie I";2;"molární zlomek,hmotnostní zlomek";"cvičení";"B403003";;"https://web.microsoftstream.com/video/1f6e8e3f-398b-49df-9e61-f332cf59b056";1
"https://web.microsoftstream.com/video/1657baf8-ac83-482f-a655-614f637c28b6";"Příklad 2 (8/17) – vyjádření koncentrace";"Ondřej Vopička";"Fyzikální chemie I";2;"vyjádření koncentrace,teplota,veličina";"cvičení";"B403003";;"https://web.microsoftstream.com/video/6e7cfa15-1e06-4a1c-b5ef-689abf655c44";1
"https://web.microsoftstream.com/video/42afcaca-3560-4ba3-9a06-b86d332aa4e4";"Příklad 3 – koncentrace vody v čisté vodě";"Ondřej Vopička";"Fyzikální chemie I";2;"koncentrace vody v čisté vodě,koncentrace,čistá voda";"cvičení";"B403003";;"https://web.microsoftstream.com/video/cc215e1d-d24d-422a-9ccf-4756c599ddc0";1
"https://web.microsoftstream.com/video/e9bd444c-a890-45f4-ad8f-e27eeeb2fcdb";"Příklad 4 (21/11) – směsi ideálních plynů";"Ondřej Vopička";"Fyzikální chemie I";2;"směs ideálních plynů";"cvičení";"B403003";;"https://web.microsoftstream.com/video/a0ea490c-7db9-42eb-8e16-b661d4fd54bd";1
"https://web.microsoftstream.com/video/fab8cc18-eab2-4413-959b-d0c51a68f164";"Příklad 5 (23/75) – práce";"Ondřej Vopička";"Fyzikální chemie I";2;"práce,ideální plyn,izotermická expanze";"cvičení";"B403003";;"https://web.microsoftstream.com/video/9c047b1f-23fa-41ba-a7c4-2da55a4ab343";1
"https://web.microsoftstream.com/video/ce3c8735-1411-4be7-a7a6-cd8f2452b990";"Příklad 6 (9/74) – izochorický ohřev";"Ondřej Vopička";"Fyzikální chemie I";2;"izochorický ohřev,autokláv";"cvičení";"B403003";;"https://web.microsoftstream.com/video/1569385c-380e-4b23-9d3a-8617d16f6cd5";1
"https://web.microsoftstream.com/video/d2856a4f-481c-4274-a393-1b4a94db58e4";"Příklad 7 (př. 3 ve vzor. testu 1) – výpočet tepla a práce";"Ondřej Vopička";"Fyzikální chemie I";2;"teplo nevratné expanze,práce nevratné expanze";"cvičení";"B403003";;"https://web.microsoftstream.com/video/335881c3-e9ba-4c4b-86e5-5c14125de796";1
"https://web.microsoftstream.com/video/e9c85620-a094-4179-9fcf-f1e5f01af3bd";"Příklad 8 (3. VI/65) – výpočet práce";"Ondřej Vopička";"Fyzikální chemie I";2;"vratná adiabatická expanze,nevratná adiabatická expanze,práce adiabatické expanze";"cvičení";"B403003";;"https://web.microsoftstream.com/video/b745bea7-1de6-44e5-9f9b-ca5c4fa31be5";1
"https://web.microsoftstream.com/video/defe2a42-0ba1-42a9-af5c-789792cd9ca5";"Příklad 1 (3. V/65) – vypaření vody";"Ondřej Vopička";"Fyzikální chemie I";3;"izobarické vratné vypaření vody,vnitřní energie,entalpie,teplo,práce,DH,DU,Q,W";"cvičení";"B403003";;"https://web.microsoftstream.com/video/b35b4d6a-1d39-4fe9-b3f6-146021112c61";1
"https://web.microsoftstream.com/video/7eb1ad8d-067f-40b9-83fb-5f12c7cc6305";"Příklad 2 – komprese po přímce";"Ondřej Vopička";"Fyzikální chemie I";3;"komprese po přímce";"cvičení";"B403003";;"https://web.microsoftstream.com/video/62cb4eb0-cfe1-43a7-8209-ec0b9b7d9351";1
"https://web.microsoftstream.com/video/645dd0a3-0662-44fb-8f02-ccafe581f61d";"Příklad 3 (51/78) – výpočet tepla";"Ondřej Vopička";"Fyzikální chemie I";3;"izobarický ohřev ideálního plynu,izochorický ohřev ideálního plynu,teplo";"cvičení";"B403003";;"https://web.microsoftstream.com/video/751c6065-f54b-47b1-82e3-dc75bb14a7e0";1
"https://web.microsoftstream.com/video/449eede3-8d4a-4590-ab4a-e1abc71a948e";"Příklad 4 (58/147) – kalorimetrická rovnice";"Ondřej Vopička";"Fyzikální chemie I";3;"kalorimetrická rovnice";"cvičení";"B403003";;"https://web.microsoftstream.com/video/3a49d6f8-19e9-4d24-b2ee-fbfbb2f744ce";1
"https://web.microsoftstream.com/video/fdd21967-f436-4ecd-8959-72c852aabee2";"Příklad 5 (107/86) – Hessův zákon";"Ondřej Vopička";"Fyzikální chemie I";3;"termochemie,Hessův zákon";"cvičení";"B403003";;"https://web.microsoftstream.com/video/32778bb8-cd34-4377-aaf7-2e6d40f5d4b7";1
"https://web.microsoftstream.com/video/84939d08-7cfa-4349-b4e1-39539acb90ed";"Příklad 6 (109/85) – spalné teplo a výhřevnost";"Ondřej Vopička";"Fyzikální chemie I";3;"spalné teplo,výhřevnost methanu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/69dc0e02-b4c1-4dc6-b15d-6155c701128d";1
"https://web.microsoftstream.com/video/15c87dc9-9e63-4f13-a123-8b7a12b0413f";"Příklad 1 (150/92) – adiabatická teplota plamene";"Ondřej Vopička";"Fyzikální chemie I";4;"adiabatická teplota plamene,nestechiometrické dávkování,přebytek vzduchu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/27c96596-7e58-4cb2-ae3f-e35dbbeb9c40";1
"https://web.microsoftstream.com/video/eff89661-8639-478a-a46b-c68f116624f7";"Příklad 2 (3. VII/66) – spalovací kalorimetrie";"Ondřej Vopička";"Fyzikální chemie I";4;"spalovací kalorimetrie,Hessův zákon,slučovací entalpie,trinitrotoluen,DU,DH";"cvičení";"B403003";;"https://web.microsoftstream.com/video/9a4ff91a-4844-47bb-97f8-68a8cec82ecb";1
"https://web.microsoftstream.com/video/bc7b0d7d-ebe8-41f0-8ff6-00994485ae3d";"Příklad 3 (128/88) – Kirchhoffův zákon";"Ondřej Vopička";"Fyzikální chemie I";4;"Kirchhoffův zákon,C+CO2=CO";"cvičení";"B403003";;"https://web.microsoftstream.com/video/aaefc648-c6c2-47fc-99c2-850366ad0d97";1
"https://web.microsoftstream.com/video/a95b8c20-e3e5-4daa-ad61-5915c969335e";"Příklad 4 (165/95, uprav.) – enthalpická bilance";"Ondřej Vopička";"Fyzikální chemie I";4;"entalpická bilance,chlazení reaktoru,entalpie,hydrogenace benzenu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/93699ec6-5958-4f1f-b323-ebe29399f94a";1
"https://web.microsoftstream.com/video/c1b4175f-826e-4e7e-bbfa-bc2f14ec828e";"Příklad 1 (41/146) – výpočet změny entropie";"Ondřej Vopička";"Fyzikální chemie I";5;"změna entropie,izobarický ohřev,fázová změna";"cvičení";"B403003";;"https://web.microsoftstream.com/video/e04322f8-811b-4ca9-9a4b-e3911d8f29de";1
"https://web.microsoftstream.com/video/128ef4e1-08e2-4620-9f49-52d2639b310e";"Příklad 2 (11/143) – výpočet změny entropie";"Ondřej Vopička";"Fyzikální chemie I";5;"změna entropie,adiabatická vratná expanze ideálního plynu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/7e46dd7c-2f1d-4689-bd70-f80d2cff5998";1
"https://web.microsoftstream.com/video/a0a643b6-d716-497b-b783-2400675d0e8d";"Příklad 3 (4. V/110) – výpočet změny entropie";"Ondřej Vopička";"Fyzikální chemie I";5;"změna entropie,izotermická komprese idálního plynu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/b2e3db59-3eb4-4d3b-b898-f08cd0b82e2c";1
"https://web.microsoftstream.com/video/fb0fc812-58c3-43ff-84af-4751e8577109";"Příklad 4 (6/19) – izobarický ohřev";"Ondřej Vopička";"Fyzikální chemie I";5;"izobarický ohřev,tepelná kapacita,změna entropie,změna entalpie,Cp(T)";"cvičení";"B403003";;"https://web.microsoftstream.com/video/02fe5fa7-bc6b-462b-9d9c-c06343ac88ad";1
"https://web.microsoftstream.com/video/56a6fcd9-c346-4d9f-a13d-7a6bbabba8be";"Příklad 5 (99/152) – směšovací entropie";"Ondřej Vopička";"Fyzikální chemie I";5;"směšovací entropie,ideální roztok";"cvičení";"B403003";;"https://web.microsoftstream.com/video/d77f0a40-0696-4f78-ba7d-beb003f18f6f";1
"https://web.microsoftstream.com/video/462ec6aa-034f-4f09-982d-944ebcfc0e5c";"Příklad 6 (1/110) – Gibbsovo fázové pravidlo";"Ondřej Vopička";"Fyzikální chemie I";5;"Gibbsovo fázové pravidlo";"cvičení";"B403003";;"https://web.microsoftstream.com/video/b456508e-9610-43f8-b694-2369408dfccb";1
"https://web.microsoftstream.com/video/865f49d5-5e00-4bdf-9451-aff9a2a011c6";"Příklad 1 (3/110) – zkapalnění plynu";"Ondřej Vopička";"Fyzikální chemie I";6;"zkapalnění plynu,p-T diagram";"cvičení";"B403003";;"https://web.microsoftstream.com/video/33febca1-9b7c-49b2-beec-dece3fa7b3f1";1
"https://web.microsoftstream.com/video/90d47b15-19f6-4d01-80c9-edca0bddee5b";"Příklad 2 (3/vzor. test 2) – Clapeyronova rovnice";"Ondřej Vopička";"Fyzikální chemie I";6;"Clapeyronova rovnice,teplota tání";"cvičení";"B403003";;"https://web.microsoftstream.com/video/3f57995d-b3db-4c82-aa8a-6cdd25682062";1
"https://web.microsoftstream.com/video/e28bbe12-11c0-4eca-9d8f-54701649a7fc";"Příklad 3 (10/111) – Clausiova–Clapeyronova rovnice";"Ondřej Vopička";"Fyzikální chemie I";6;"Clausiova–Clapeyronova rovnice,Antoineova rovnice";"cvičení";"B403003";;"https://web.microsoftstream.com/video/59317c0e-46b6-4c33-b393-c5026a305599";1
"https://web.microsoftstream.com/video/3c2a1558-0f51-4cf0-95c2-72f01b06db3e";"Příklad 4 (25/113) –  rovnováha kapalina–pára";"Ondřej Vopička";"Fyzikální chemie I";6;"rovnováha kapalina-pára,tlak nasycených par,binární směs";"cvičení";"B403003";;"https://web.microsoftstream.com/video/5e97198e-356a-461d-8e85-9ba84f55514a";1
"https://web.microsoftstream.com/video/aa436e30-affd-4f1f-96eb-f2bf79c18d20";"Příklad 5 (29/114) – rovnováha kapalina–pára";"Ondřej Vopička";"Fyzikální chemie I";6;"rovnováha kapalina-pára,rosný tlak,binární směs";"cvičení";"B403003";;"https://web.microsoftstream.com/video/0e1c3853-3314-4906-aed4-2178260003af";1
"https://web.microsoftstream.com/video/afce9144-fbae-4145-8501-99ddf68978db";"Příklad 6 (30/114) – rovnováha kapalina–pára";"Ondřej Vopička";"Fyzikální chemie I";6;"rovnováha kapalina-pára,binární směs,LPG";"cvičení";"B403003";;"https://web.microsoftstream.com/video/64428276-20c4-41bc-9c3a-7e87cf5263f7";1
"https://web.microsoftstream.com/video/92f81130-4c83-47f7-b662-b20999473c17";"Příklad 1 (4/vzor. test 2) – rovnováha kapalina–pára";"Ondřej Vopička";"Fyzikální chemie I";7;"rovnováha kapalina-pára,binární směs";"cvičení";"B403003";;"https://web.microsoftstream.com/video/e01955ee-f9bb-4ba9-8d7e-964d5faadcce";1
"https://web.microsoftstream.com/video/274b40c3-a666-4f12-9605-8991724218e0";"Příklad 2 (63/118) – destilace nemísitelných kapalin";"Ondřej Vopička";"Fyzikální chemie I";7;"destilace nemísitelných kapalin";"cvičení";"B403003";;"https://web.microsoftstream.com/video/f49c1147-7765-4ea5-8545-0bdbe44e7d6d";1
"https://web.microsoftstream.com/video/794e28b8-0f5a-4752-9525-bb365d076203";"Příklad 3 – část A (10.17/100) – rovnováha kapalina–kapalina";"Ondřej Vopička";"Fyzikální chemie I";7;"pákové pravidlo,rovnováha kapalina-kapalina";"cvičení";"B403003";;"https://web.microsoftstream.com/video/0add869c-b1a3-4199-869e-8efaf06b0db4";1
"https://web.microsoftstream.com/video/1d618cdb-fc6d-45ad-afe1-93e616088540";"Příklad 3 – část B (10.17/100) – rovnováha kapalina–kapalina";"Ondřej Vopička";"Fyzikální chemie I";7;"pákové pravidlo,rovnováha kapalina-kapalina";"cvičení";"B403003";;"https://web.microsoftstream.com/video/67027b7d-7aaa-495c-bf2b-d2c699782661";1
"https://web.microsoftstream.com/video/568334b8-8416-4922-8c6d-a2204828096c";"Příklad 4 (44/116) – kryoskopie";"Ondřej Vopička";"Fyzikální chemie I";7;"kryoskopie,síra a sirouhlík";"cvičení";"B403003";;"https://web.microsoftstream.com/video/3a62dd93-1808-468c-8b3f-452b4b227ec4";1
"https://web.microsoftstream.com/video/68d16315-33f1-4d88-b72f-449c74aba833";"Příklad 5 (10.21/104) – ideální rozpustnost";"Ondřej Vopička";"Fyzikální chemie I";7;"ideální rozpustnost naftalenu v benzenu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/4bd1e6f0-89e9-4558-80ab-783dc81fcd96";1
"https://web.microsoftstream.com/video/ff383599-3f69-4209-87a9-b43862e7adc1";"Příklad 1 – část A (3/240) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";8;"chemická rovnováha,bilance,rozsah reakce,stechiometrický vstup,katalytická hydrogenace benzenu na cyklohexan";"cvičení";"B403003";;"https://web.microsoftstream.com/video/2e69a674-bb6d-4a7d-ad01-9e0ba2b9f633";1
"https://web.microsoftstream.com/video/3c05f46a-38f3-4bac-996e-9a5efef57dfd";"Příklad 1 – část B (3/240) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";8;"chemická rovnováha,bilance,rozsah reakce,stechiometrický vstup,katalytická hydrogenace benzenu na cyklohexan";"cvičení";"B403003";;"https://web.microsoftstream.com/video/bf5c5b40-8eea-4659-b39b-72aba07b5d7a";1
"https://web.microsoftstream.com/video/44f3fe3e-0f90-4728-8962-172a0783663b";"Příklad 2 – část A (27/243) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";8;"chemická rovnováha,bilance,stupeň konverze,vliv tlaku na konverzi,reakce benzenu s propenem";"cvičení";"B403003";;"https://web.microsoftstream.com/video/422fe454-92bf-4ec7-922b-e0004d37dbce";1
"https://web.microsoftstream.com/video/43af2a78-bb09-49a0-8001-d47a50af0452";"Příklad 2 – část B (27/243) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";8;"chemická rovnováha,bilance,stupeň konverze,vliv tlaku na konverzi,reakce benzenu s propenem";"cvičení";"B403003";;"https://web.microsoftstream.com/video/c5528e57-fbd1-41f0-b43d-83e18a310b5e";1
"https://web.microsoftstream.com/video/9ab77d5b-434b-4cd4-b7f1-3f4eab603a4b";"Příklad 3 (21/242) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";8;"chemická rovnováha,bilance,rozsah reakce,disociace fosgenu,počáteční tlak v reaktoru";"cvičení";"B403003";;"https://web.microsoftstream.com/video/ceb4be6f-0f55-4ded-8deb-11d59e02e792";1
"https://web.microsoftstream.com/video/3eedd238-b721-4da9-ae14-99220091ea39";"Příklad 4 (64/249) – teplotní závislost rovnovážné konstanty";"Ondřej Vopička";"Fyzikální chemie I";8;"rovnovážná kosntanta,van ’t Hoffova izobara,cis-trans izomerizace";"cvičení";"B403003";;"https://web.microsoftstream.com/video/d54dcb25-86d5-47d7-91b1-95c3faba3d7f";1
"https://web.microsoftstream.com/video/32f217ed-bef7-46fd-ad1e-74f05982c32a";"Příklad 1 (22/NA) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";9;"chemická rovnováha,bilance,stupeň konverze,vliv teploty na konverzi";"cvičení";"B403003";;"https://web.microsoftstream.com/video/609a6ff3-c440-4e11-bb75-9472bb5efac4";1
"https://web.microsoftstream.com/video/ea46e7a6-cbeb-4ef7-8e69-a5df2b2b2f9c";"Příklad 2 (69/249) – teplotní závislost rovnovážné konstanty";"Ondřej Vopička";"Fyzikální chemie I";9;"rovnovážná konstanta,van’t Hoffova izobara,hydratace ethylenu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/33bfede3-5bf1-47b8-a9a3-fdf30cc797bb";1
"https://web.microsoftstream.com/video/ab7a5279-13b6-41c5-be0c-a864bbedc8dc";"Příklad 3 (29/243) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";9;"chemická rovnováha,bilance,stupeň konverze,vliv přídavku inertu,dehydrogenace cyklohexanu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/106aec28-f7fa-4c16-b90d-09292328f3c5";1
"https://web.microsoftstream.com/video/d5885f39-6921-4bc9-9afd-78d29b001cb6";"Příklad 4 (45/246) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";9;"chemická rovnováha,tuhá fáze,plynná fáze,DGr=-RT.ln(K)";"cvičení";"B403003";;"https://web.microsoftstream.com/video/46d33a7c-9a9a-4537-bae9-083ca8abf95b";1
"https://web.microsoftstream.com/video/fa7c8320-ba75-4c66-9dca-380fb3207026";"Příklad 5 (6. IX/204) – chemická rovnováha";"Ondřej Vopička";"Fyzikální chemie I";9;"chemická rovnováha,bilance,rozsah reakce,nestechiometrický vstup,dávkování,reakce koksu s vodní parou";"cvičení";"B403003";;"https://web.microsoftstream.com/video/0b484ecc-9ff6-48c1-9f0a-719516343723";1
"https://web.microsoftstream.com/video/1e4cd3ef-f38c-4cfe-8048-a69e38fd2f5c";"Příklad 1 (7.5.7/337) – disociace slabé kyseliny";"Ondřej Vopička";"Fyzikální chemie I";10;"disociace,slabá kyselina,HOAc";"cvičení";"B403003";;"https://web.microsoftstream.com/video/62d6530a-2f53-4842-b6b2-5fc3cbe15851";1
"https://web.microsoftstream.com/video/c930f1c1-880a-4285-acdc-6f75c4546059";"Příklad 2 (11.6.4/419) – disociace silné, zředené kyseliny";"Ondřej Vopička";"Fyzikální chemie I";10;"disociace,silná zředěná kyselina,autoprotolýza vody,HCl";"cvičení";"B403003";;"https://web.microsoftstream.com/video/8e6af37f-9b53-419c-9c07-ef44a7c6b75f";1
"https://web.microsoftstream.com/video/dafa2754-1532-4cdc-8061-17cefd03ed83";"Příklad 3 (102/255) – disociace slabé báze";"Ondřej Vopička";"Fyzikální chemie I";10;"disociace,slabá báze,NH3";"cvičení";"B403003";;"https://web.microsoftstream.com/video/d010668b-5ebe-491b-81fe-85778c69098e";1
"https://web.microsoftstream.com/video/a8342496-c75b-4304-8096-1453f13c8145";"Příklad 4 (115/256) – rozpustnost solí";"Ondřej Vopička";"Fyzikální chemie I";10;"rozpustnost,součin rozpustnosti";"cvičení";"B403003";;"https://web.microsoftstream.com/video/77e20bbf-da09-4a08-a3e7-364fcc11ffd0";1
"https://web.microsoftstream.com/video/f27b4b0f-a360-4906-8e05-3a134df54e09";"Příklad 5 (119/256) – promývaní sraženiny vodou a elektrolyty";"Ondřej Vopička";"Fyzikální chemie I";10;"promývání sraženin vodou,promývání sraženin elektrolyty,ideální roztok,Ag2MoO4";"cvičení";"B403003";;"https://web.microsoftstream.com/video/900c5bd3-a7be-4001-be48-afa4bf7d55d5";1
"https://web.microsoftstream.com/video/da0e028d-41db-4c88-b384-aa8b6643eda2";"Příklad 1 (5/37) – Faradayův zákon";"Ondřej Vopička";"Fyzikální chemie I";11;"Faradayův zákon,elektrolýza,rafinace mědi";"cvičení";"B403003";;"https://web.microsoftstream.com/video/9f25bb6a-0d6f-4e5d-a4d5-916b60600bfc";1
"https://web.microsoftstream.com/video/e3d8b509-a7b1-40bd-bd9b-f596d350642e";"Příklad 2 (9/37) – coulometr na třaskavý plyn";"Ondřej Vopička";"Fyzikální chemie I";11;"coulometr na třaskavý plyn";"cvičení";"B403003";;"https://web.microsoftstream.com/video/8f1ff68a-0d08-45af-9954-9d398be6063e";1
"https://web.microsoftstream.com/video/84b401d3-e048-450d-8eea-a9b8670383fb";"Příklad 3 (23/40) – elektrochemický článek";"Ondřej Vopička";"Fyzikální chemie I";11;"elektrochemický článek,standardní vodíková elektroda";"cvičení";"B403003";;"https://web.microsoftstream.com/video/65cbdd33-d9d0-4e5d-b5bd-0608ab1304fc";1
"https://web.microsoftstream.com/video/91d5161a-762d-4395-9935-8a242b5609e7";"Příklad 4 (17/39) – celková reakce v elektrochem. článku";"Ondřej Vopička";"Fyzikální chemie I";11;"elektrochemický článek";"cvičení";"B403003";;"https://web.microsoftstream.com/video/6cef036a-2221-4e6d-a70f-4e4c19834620";1
"https://web.microsoftstream.com/video/fdfe3dcc-6739-4ee2-81b5-1285ea554b85";"Příklad 5 (NA/303) – reakce 1.řádu";"Ondřej Vopička";"Fyzikální chemie I";11;"kinetika,reakce 1. řádu,poločas reakce,reakce prvního řádu";"cvičení";"B403003";;"https://web.microsoftstream.com/video/19e9e0e5-de53-461c-a091-a554f562e496";1
